SampleName	TP53_Condition
ACH-000870	TP53_NonDamagingVariant
ACH-000871	TP53_NonDamagingVariant
ACH-000872	TP53_NonDamagingVariant
ACH-000875	TP53_DamagingVariant
ACH-000878	TP53_NonDamagingVariant
ACH-000886	TP53_NonDamagingVariant
ACH-000888	TP53_NA
ACH-000890	TP53_NonDamagingVariant
ACH-000891	TP53_DamagingVariant
ACH-000892	TP53_WT
ACH-000893	TP53_NonDamagingVariant
ACH-000894	TP53_NonDamagingVariant
ACH-000900	TP53_NonDamagingVariant
ACH-000901	TP53_NonDamagingVariant
ACH-000904	TP53_NonDamagingVariant
ACH-000912	TP53_DamagingVariant
ACH-000916	TP53_NonDamagingVariant
ACH-000921	TP53_DamagingVariant
ACH-000924	TP53_DamagingVariant
ACH-000925	TP53_WT
ACH-000929	TP53_NonDamagingVariant
ACH-000945	TP53_NonDamagingVariant
ACH-000951	TP53_NonDamagingVariant
ACH-000975	TP53_NonDamagingVariant
ACH-000980	TP53_NonDamagingVariant
ACH-001041	TP53_NonDamagingVariant
ACH-001047	TP53_NonDamagingVariant
ACH-001049	TP53_NonDamagingVariant
ACH-001075	TP53_WT
ACH-001113	TP53_NonDamagingVariant
ACH-001136	TP53_NonDamagingVariant
ACH-001137	TP53_NonDamagingVariant
ACH-001138	TP53_DamagingVariant
ACH-001233	TP53_NonDamagingVariant
ACH-001234	TP53_NonDamagingVariant
ACH-001362	TP53_NonDamagingVariant
ACH-001363	TP53_NonDamagingVariant
ACH-001364	TP53_NonDamagingVariant
ACH-001365	TP53_NonDamagingVariant
ACH-001386	TP53_NonDamagingVariant
ACH-001417	TP53_DamagingVariant
ACH-001489	TP53_DamagingVariant
ACH-001490	TP53_NA
ACH-001547	TP53_WT
ACH-001549	TP53_NonDamagingVariant
ACH-001555	TP53_WT
ACH-001556	TP53_WT
ACH-001557	TP53_WT
ACH-001558	TP53_WT
ACH-001559	TP53_NonDamagingVariant
ACH-001560	TP53_WT
ACH-001561	TP53_WT
ACH-001562	TP53_WT
ACH-001591	TP53_DamagingVariant
ACH-001599	TP53_NonDamagingVariant
ACH-001958	TP53_NonDamagingVariant
ACH-001977	TP53_WT
ACH-001992	TP53_NonDamagingVariant
ACH-002051	TP53_NonDamagingVariant
ACH-002052	TP53_NonDamagingVariant
ACH-002077	TP53_DamagingVariant
ACH-002089	TP53_NonDamagingVariant
ACH-002095	TP53_DamagingVariant
ACH-002101	TP53_DamagingVariant
ACH-002102	TP53_WT
ACH-002122	TP53_DamagingVariant
ACH-002123	TP53_WT
ACH-002124	TP53_WT
ACH-002125	TP53_WT
ACH-002126	TP53_WT
ACH-002127	TP53_NonDamagingVariant
ACH-002128	TP53_WT
ACH-002129	TP53_NonDamagingVariant
ACH-002130	TP53_WT
ACH-002131	TP53_WT
ACH-002132	TP53_DamagingVariant
ACH-002133	TP53_NonDamagingVariant
ACH-002134	TP53_NonDamagingVariant
ACH-002135	TP53_WT
ACH-002136	TP53_WT
ACH-002144	TP53_WT
ACH-002145	TP53_DamagingVariant
ACH-002154	TP53_DamagingVariant
ACH-002156	TP53_NonDamagingVariant
ACH-002157	TP53_NonDamagingVariant
ACH-002169	TP53_NonDamagingVariant
ACH-002170	TP53_DamagingVariant
ACH-002171	TP53_NonDamagingVariant
ACH-002173	TP53_NonDamagingVariant
ACH-002174	TP53_NonDamagingVariant
ACH-002175	TP53_NonDamagingVariant
ACH-002176	TP53_NonDamagingVariant
ACH-002177	TP53_DamagingVariant
ACH-002193	TP53_NonDamagingVariant
ACH-002196	TP53_DamagingVariant
ACH-002197	TP53_WT
ACH-002286	TP53_DamagingVariant
ACH-002337	TP53_WT
