gene	ACH-001339	ACH-000765	ACH-000008	ACH-000465	ACH-000550	ACH-000322	ACH-002508	ACH-000632	ACH-000441	ACH-000805	ACH-001328	ACH-001521	ACH-000580	ACH-001568	ACH-002458	ACH-001569	ACH-000814	ACH-001973	ACH-002005	ACH-002003	ACH-002461	ACH-000799	ACH-001523	ACH-001551	ACH-002511	ACH-002460	ACH-000614	ACH-000014	ACH-000348	ACH-001566	ACH-000572	ACH-001239	ACH-001970	ACH-000425	ACH-000404	ACH-000882	ACH-000458	ACH-002084	ACH-001522	ACH-000650	ACH-001563	ACH-002510	ACH-000822	ACH-000812	ACH-002509	ACH-001524	ACH-001982	ACH-000730	ACH-001567	ACH-000661	ACH-001190	ACH-002459	ACH-001645	ACH-000304	ACH-000931	ACH-000810	ACH-002001	ACH-001550	ACH-000450	ACH-000423	ACH-001552	ACH-000915	ACH-000881	ACH-000899	ACH-000884	ACH-000477	ACH-000401	ACH-000615	ACH-000801	ACH-002512	ACH-002004	ACH-000827	ACH-000987	ACH-000274	ACH-000644	ACH-000219	ACH-000582	ACH-001570	ACH-001442	ACH-000640	ACH-002002	ACH-000579	ACH-000788	ACH-000968	ACH-000750
TSPAN6	12.73	11.18	10.06	17.41	10.06	6.09	46.07	22.84	15.55	12.79	35.14	41.24	8.16	9.22	7.02	19.98	12.68	9.62	22.16	10.43	22.27	11.79	21.1	31.92	12.25	10.31	30.58	10.75	11.05	26.15	19.64	22.01	33.23	25.91	16.52	9.12	11.58	31.42	54.57	22.46	8.19	15.59	20.1	26.63	45.79	86.08	20.24	23.03	9.79	13.15	22.92	10.46	28.24	13.79	48.37	14.8	13.37	35.11	11.19	19.55	32.06	10.31	12.76	13.38	25.1	15.65	6.82	15.5	26	16.81	50.63	7.86	13.95	26.42	13.01	15.36	20.97	23.92	21.81	20.56	14.93	27.15	15.17	18.29	17.04
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.27	0	0	0	0	0	0.03	0	0	0	0	0	0	0.02	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0900000000000001	0	0	0	0
DPM1	161.74	166.34	135.45	68.65	122.22	217.68	115.32	102.84	97.84	85.41	134.77	216.71	130.34	25.88	243.93	73.99	65.06	89.9	144.12	169.52	101.46	70.03	191.14	264.55	157.28	220.28	157.11	179.5	140.47	46.73	113.33	70.4500000000001	114.36	68.22	69.93	58.76	115.91	138.64	120.39	100.74	95	77.55	54.3	112.26	69.14	162.09	84.54	89.55	105.47	99.23	120.63	159.81	82.56	65.2	132.58	77.37	161.74	142.49	66.7	177.6	211.27	72.36	84.6	167.97	266.07	79.55	82.49	90.23	74.33	108.31	72.3	99.8	84.72	67	60.97	190.07	65.02	96.92	134.36	83.06	103.89	72.3	94.92	42.09	83.5
SCYL3	4.06	4.7	3.61	4.72	2.85	4.56	3.66	3.97	5.3	7.71	3.78	3.58	3.73	1.05	3.83	3.42	8	6.69	3.84	6.51	3.23	6.11	9.16	2.84	6.13	3.67	4.8	4.24	3.74	2.03	5.97	4.93	4.87	4.2	4.54	3.6	2.7	2.89	3.08	4.42	2.68	2.79	3.34	5.05	8.51	6.46	4.53	2.26	4.62	5.66	5.15	5.05	3.13	5.13	5.51	4.24	5.81	5.48	2.72	4.07	7.81	2.45	2.81	10.8	3.45	5.08	3.69	2.83	6.08	4.12	3.3	5.6	3.77	4.75	4.81	5.17	3.51	4.97	2.3	2.22	4.45	3.08	5.13	2.38	2.5
C1orf112	18.09	13.84	16.46	11.5	10.68	14.03	6.18	13.61	11.13	17.8	17.58	32.44	9.14	2.7	11.37	4.18	21.52	13.53	10.67	11.31	10.35	13.3	9.56	10.23	14.38	9.5	9.89	11.56	8.24	6.22	37.74	12.32	10.4	10.19	17.23	11.65	4.67	16.17	5.85	37.05	11.55	4.15	9.43	15.53	16.83	2.66	10.15	13.1	15.08	27.48	23.36	8.49	9.37	10.83	23.23	21.38	21.11	8.95	13.14	19.29	29.76	12.98	12.36	20.35	18.71	14.11	16.75	13.79	36.18	16.49	5.91	24.82	13.14	16.14	7.27	27.3	13.83	17.36	10.31	8.43	12.68	17.85	23.04	9.18	8.87
FGR	0.04	0.01	0	0.23	0.01	0.0700000000000001	0.01	0	0.01	0.02	0.0700000000000001	0.01	0.35	0.02	0	0.04	0.02	0.01	0.05	0.01	0.01	0.03	0.27	0.01	0.32	0	0.04	0.04	0.16	0.0700000000000001	0	0.12	0.02	0	0	0.01	0.02	0.02	0.05	0	0.02	0	0.0600000000000001	0.02	0	0.03	0	0.02	0.01	0.02	0.02	0.01	0.03	0.05	0.02	0.02	0	0.02	0	0.01	0	0.13	0	0.02	0.0600000000000001	1.37	0.02	0.0700000000000001	0	0	0.01	0.04	0.01	0.03	0	0.02	0	0.02	0.03	0.02	0.0800000000000001	0.03	0.02	0.03	0.01
CFH	1.53	0.1	0.0700000000000001	0.21	13.95	1.63	26.63	0.15	0.17	0.2	8.72	10.07	2.7	0.1	15.35	0.24	9.68	13.53	0	0.39	1.39	0.0700000000000001	2.25	4.57	2.59	15.22	0.44	0.19	4.51	0.17	0.15	0.84	0	0.68	3.59	0.27	0.96	16.54	0.12	0.74	6.6	1.82	7.41	0.55	2.95	1.58	0.04	0.4	0.19	2.51	4.46	113	0.98	27.5	0.03	0.17	0.22	80.25	0.04	13.58	170.09	1.97	0.0700000000000001	0.12	0.0900000000000001	0.94	0.2	0.4	12.67	7.1	0.85	0.86	1.38	3.86	0.77	0.49	7.97	3.36	18.7	16.87	20.42	0.13	8.05	0.36	0.1
FUCA2	104.73	56.04	84.79	38.01	48.24	62.17	45.19	60.2	40.86	84.85	67.02	20.02	79.76	37.22	70.11	32.44	54.87	87.77	22.81	22.52	58.53	54.04	45.68	32.6	24.94	72.06	31.21	77.96	89.17	23.28	53.54	70.38	82.15	87.84	129.82	83.83	40.79	64.23	69.2	64.14	48.96	79.92	63.23	76.33	56.47	24.92	85.6	33.09	62.25	37	60.83	73.47	95.54	28.98	17.27	61.97	16.2	23.92	111.62	49.59	91.96	68.1	79.59	16.64	48.35	33.77	93.06	61.93	89.77	105.55	100.63	107	87.4	19.9	91.11	22.56	56.35	42.94	68.05	73.77	25.71	55.69	93.21	32.88	29.8
GCLC	11.74	18.07	25.69	22.71	8.47	14.55	15.41	32.29	39.35	19.64	43.61	132.93	25.35	3.56	10.31	9.6	17.46	18.4	17.09	16.74	4.74	12.13	47.32	8.75	20.92	22.63	14.49	18.56	11.77	8.38	19.16	22.89	29.39	10.32	16.49	11.29	62.79	12.42	26.27	15.67	7.72	12.63	11.9	16.11	10.09	17.52	13.55	19	8.37	16.08	20.14	9.54	11.55	18.88	4.55	17.83	14.09	11.71	22.06	14.34	18.5	17.91	16.44	20.95	23.02	18.22	15.82	14.35	21.29	12.91	15.53	18.84	18.24	17.19	24.4	21.59	28.06	14.72	23.08	11.59	13.52	23.05	17.45	11.24	22.08
NFYA	12.69	25.44	18.07	36.42	9.97	21.07	10.03	24.41	36.48	20.66	10.27	17.52	16.13	12.78	15.97	9.22	17.4	18.59	10.5	11.92	11.94	12.6	20.9	19.54	16.68	14.05	27.84	17.85	14.66	8.55	29.19	11.64	31.18	12.95	19.7	11.93	10.48	22.36	37.85	19.68	8.32	17.59	21.22	14.38	23.63	15.54	11.91	11.34	10.87	18.4	15.18	12.38	11.79	23.91	33.12	25.8	10.24	20.41	20.81	20	14.59	18.85	24.2	29.38	21.99	17.32	14.82	14.61	18.73	31.89	16.45	18.56	19.87	14.63	28.54	20.55	17.4	14.9	13.77	18.07	11.58	21.92	23.03	17.19	19.87
STPG1	6.44	9.09	5.61	5.37	8.08	5.99	4.08	8.24	7.49	6.96	9.69	8.74	18.09	4.47	3.65	10.78	8.68	12.38	8.16	6.17	6.03	10.32	4.65	1.43	13.07	3.2	8.05	5.2	6.42	4.11	6.52	8.86	9.36	8.92	7.07	9.6	12.19	8.4	4.33	7.21	3	4.78	8.74	11.68	5.36	4.92	5.76	3.76	5.06	10.52	6.52	2.01	5.31	6.22	5.21	9.03	6.97	8.02	6.23	3.57	3.93	7.08	7.53	7.6	8.24	5.06	8.34	10.05	7.3	6.21	9.38	11.02	2.58	2.26	4.86	7.04	6.76	4.78	5.16	13.53	9.51	8.32	7.98	5.46	6.78
NIPAL3	11.24	15.18	36.69	27.98	21.96	18.81	13.41	29.3	19.3	18.99	17.33	15.54	51.95	9.38	34.06	15.17	32.41	18.24	2.45	50.7	40.82	45.32	15.84	6.91	67.63	24.03	20.81	36.9	13.49	8.65	12.43	40.16	33.87	41.4	14.5	19.65	19.75	18.34	28.58	5.75	5.92	11.89	64.14	7.96	27.82	28.72	17.89	10.61	17.54	25.79	14.5	13.42	20.84	39.39	29.79	13.31	45.83	12.62	16.62	9.38	6.14	34.4	28.4	36.83	47.92	12.62	18.49	51.28	16.35	8.98	54.02	17.71	22.61	21.23	26.69	41.65	14.83	8.67	22.91	31.42	42.29	24.61	36.39	3.45	22.65
LAS1L	18.71	33.61	45.03	43.9	53.45	31.87	49.11	59.19	61.63	40.22	28.07	46.42	34.09	25.27	20.48	17.61	38.99	31.75	35.95	30.14	28.95	25.89	21.94	29.57	40.62	17.13	45.43	39.69	61.67	25.39	61.77	35.17	36.98	57.29	40.88	46.93	34.08	40.49	29.99	61.84	22.23	28.61	28.76	38.64	27.24	15.63	30.97	45.85	22.39	30.37	67.49	13.5	38.9	16.47	44.18	43.32	38.44	36.16	22.65	39.83	25.39	38.17	45.72	44.62	46.64	29.89	24.97	30.56	44.27	42.69	39.79	18.25	51.23	65.81	41.46	54.72	44.11	34.48	19.69	38.46	48.32	46.7	37.74	38.51	60.25
ENPP4	0.74	2.03	1.07	7.4	0.03	0.6	0	2.51	0.03	0.23	0	0	0.0600000000000001	0.92	0.83	0.4	0.05	2.18	0.01	0.82	0	2.5	0.01	2.99	0.97	1.11	0.03	1.37	0.76	1.26	0.28	0.11	3.06	0.0900000000000001	2.29	0.03	0.01	2.32	8.21	0.02	0.01	0	3.42	0.17	14.25	0	2.23	0.4	0.55	6.07	11.88	0.94	0.02	0.52	1.83	0.04	1.35	7.58	1.07	0.76	15.61	0.01	0.01	0.0700000000000001	0	0.02	1.69	1.26	0.03	0.02	0.28	0.05	5.62	0	0.12	0.84	2.78	3.78	0	4.04	5.23	0.53	0.02	0.02	0.02
SEMA3F	0.21	1.32	0.21	0.0900000000000001	3.12	1.76	0.16	1.36	0.36	0.47	12.36	9.11	0.6	0.0800000000000001	2.19	0.59	0.49	0.33	0.36	1.71	1.08	1.75	19.39	7.4	2.91	1.44	0.27	0.58	1.95	2.38	0.66	0.22	0.34	1.32	0.12	1.7	5.46	0.01	0.0700000000000001	1.03	0	0.49	0.12	0.24	11.23	12.18	0.87	1.64	0.28	1.23	0.33	1.61	0.16	0.39	0.92	0.19	1.56	29.79	0.59	0.49	3.91	0.37	0.65	0.22	0.37	0.44	0.52	0.41	3.12	1.99	0.34	0.64	1.38	0.03	1.91	1.53	7.35	0.48	10.64	0.35	13.48	0.12	1.25	0.22	0.47
CFTR	0.03	0.0700000000000001	0.23	0.58	0.65	0.29	0	0.01	0.16	0.22	0.01	0.01	4.08	0	0	0.0600000000000001	0.67	0	0.0600000000000001	0	0.1	0.26	0.05	0.26	0	0.03	0.89	0.15	0.05	0.03	1.06	1.74	0.26	1.36	0.34	0.41	0.01	0.14	0.29	0.85	0.02	0	0.24	0.91	0	0.01	0.3	1.23	0.03	0.53	0.31	0	0.15	0.32	0.2	0.0600000000000001	0.01	0.02	0.42	0.23	2.7	0.67	0.0600000000000001	1.2	0.41	1.28	0.19	0.22	0.48	0	0.11	0.31	0.58	0.24	0.29	0.01	0.28	0.0600000000000001	0	0.57	0.0700000000000001	0.49	0.22	0.11	0.01
ANKIB1	16.75	26.73	25.09	16.63	21.08	25.58	11.17	13.26	24.17	18.11	10.44	17.43	40.63	9.28	18.7	19.9	33.18	11.26	17.05	22.8	20.84	27.88	23.51	23.11	11.15	22.44	31.2	28.45	26.09	12.13	35.8	47.23	19.36	15.31	16.19	21.38	23.91	25.43	20.91	21.2	10.9	7.81	26.11	42.03	13.26	19.03	23.38	18.51	16.25	37.69	30.01	18.21	10.9	56.35	21.71	11.56	20.48	22.68	22.39	27.11	23.79	23.58	18.21	34.7	18.13	40.08	19.85	18.53	17.54	15.77	25.96	38.49	12.94	11.22	15.83	22.75	20.16	14.05	8.56	43.11	13.62	11.31	28.24	17.32	15.26
CYP51A1	49.4	25.83	37.12	107.27	47.14	35.82	25.98	43.01	107.96	66.58	40.08	39.69	130.84	55.58	24.41	118.87	50.74	84.76	58.03	42.74	66.22	36.31	63.78	50.78	37.36	33.93	69.74	52.3	21.99	49.96	127.56	70.99	61.72	32.5	56.09	55.37	28.65	76.16	83.37	66.34	101.94	44.45	62.88	116.37	20.8	8.56	149.04	49.48	16.97	108.37	38.49	21.17	23.59	58.76	35.26	141.68	40.09	46.3	86.1	89.12	50.43	126.58	29.76	61.12	8.92	87.66	70.05	42.1	65.26	80.31	58.57	86.59	13.75	98.56	55.48	22.69	48.73	50.72	50.37	23.33	39.26	52.09	52.4	84.32	35.89
KRIT1	28.02	29.31	41.6	27.62	35.89	30.75	17.54	17.01	39.94	49.22	15.04	37.42	46.41	15.08	24.23	26.75	35.47	19.98	32.1	34.28	21.95	42.81	36.69	31.54	16.66	23.6	39.14	45.48	29.96	21.89	54.9	66.32	51.76	29.36	38.97	29.8	35.02	25.81	33.01	44.14	18.93	17.38	37.73	47.09	30.04	31.16	38.39	40.61	33.68	35.82	37.38	19.77	12.18	48.74	41.11	24.43	27.71	25.03	32.88	48.56	32.19	42.94	14.31	38.18	27.99	51.71	23.8	23.44	32.99	25.06	31.48	48.18	28.5	18.65	27.3	30.6	35.28	25.92	13.54	50.47	27.71	34.79	34.09	16.33	25.18
RAD52	5.39	11.25	9.6	37.37	14.27	9.34	6.07	4.06	5.75	11.28	7.69	7.66	6.96	6.23	9.57	8.74	8.95	4.54	8.03	5.09	8.09	6.73	3.65	5.72	5.21	9.2	8.65	11.98	11.72	2.31	7.92	9.7	6.56	12.53	7.99	24.36	11.79	3.63	3.3	8.71	4.04	6.27	7.77	10.32	5.74	11.09	6.54	7.75	3.81	9.08	11.36	17.95	6.44	9.5	8.59	8.93	5.47	6.68	10.32	10.42	8.64	10.81	6.62	17.69	12.61	8.9	4.12	7.39	6.01	9.66	3.68	5.04	8.39	5.24	6.64	9.32999999999999	8.02	2.62	3.82	21.45	6.66	11.43	7.04	5.93	12.94
BAD	22.6	70.93	39.21	86.19	78.5600000000001	47.89	25.69	45.41	47.65	38.93	34.59	40.78	73.75	17.34	37.49	19.49	55.26	6.1	38.28	40.63	57.05	40.15	31.12	19.38	26.56	30.16	51.96	55.77	88.57	19.08	26.61	41.17	5.82	41.36	35.59	29.09	104.9	18.62	14	40.88	35.63	26.36	62.94	66.17	46.6	64.74	6.92	18.52	27.11	99.48	15.98	32.18	9.24	56.44	17.99	71.37	41.72	18.57	23.77	38.37	14.57	40.32	84.22	45.98	61.91	23.64	52.08	15.01	44.8	18.09	18.08	62.98	40.48	94.68	38.74	55.44	51.23	15.09	62.91	73.19	40.46	53.3	48.96	32.5	81.08
LAP3	71.01	65.81	83.65	300.4	50	57.05	74.84	104.8	57.73	72.29	19.86	36.77	83.08	8.51	40.28	25.29	118.38	193.11	72.83	61.82	45.71	46.92	46.45	30.1	69.94	50.26	49.82	65.3900000000001	76.68	14.78	62.59	53.2	143.51	47.91	45.97	48.12	25.84	398.09	110.78	68.79	57.9	30.74	49.19	108.59	42.14	40.49	71.03	51.82	27.83	66.46	85.41	41.1	29.04	55.04	58.71	96.07	68.59	64.56	88.72	87.01	50.11	104.53	79.06	107.8	72.25	100.08	47.3	46.33	74.81	128.22	80.55	61.08	71.88	70.4500000000001	35.26	56.32	46.27	48.7	28.48	65.02	51.08	96.02	58.52	37.87	32.37
CD99	289.47	180.87	164.85	630.430000000001	593.11	449.14	98.03	230.99	317.81	125.08	46.75	174.66	383.26	190.09	403.69	329.19	626.09	259	473.54	16.61	240.6	384.01	227.82	58.93	425.7	382.67	297.76	348.51	440.82	325.55	191.38	317	77.25	217.92	363.14	517.68	241.23	325.58	193.24	397.37	339.33	156.48	845.76	679.4	138.33	280.6	347.68	204.9	416.5	745.039999999999	192.95	223.64	65.96	561.259999999999	143.32	588.13	13.92	245.09	271.72	215.92	225	379.53	374.57	541.790000000001	156.04	955.839999999999	621.870000000001	335.22	335.07	192.16	187.75	291.39	249.27	529.62	298.83	46.55	541.73	287.61	54.28	762.84	164.2	263.24	224.87	535.639999999999	115.97
HS3ST1	0.31	0.71	0.0700000000000001	6.29	0.11	0.14	0	0.17	0.1	0.92	3.06	1.06	0.33	0.22	0.0800000000000001	0	0.25	0.02	0.0700000000000001	0.17	0.01	0.87	0.55	0.01	0.37	0.0900000000000001	0.83	0.0700000000000001	0.3	0.03	0.0700000000000001	1.86	0.47	0.37	0.16	0.02	6.41	0.0600000000000001	0.03	0.02	0.01	0.4	0.45	0.34	0.59	1.3	0.0700000000000001	0.25	0.33	0.71	0.19	0	0.22	0.3	0.17	0.14	0.13	0.03	0.91	0.55	0.02	0.74	0.36	0.35	0.01	0.03	2.52	0.59	0.33	0.01	0.15	0.19	0.14	0	3.08	0.44	0.27	0.14	5.2	0.14	0.29	1.39	1	0.3	0
AOC1	0.0600000000000001	0.18	0.12	0	0	0	0	0.1	1.28	0.05	25.65	0.26	0.12	0.01	0.0700000000000001	0.02	0.03	0	0	0	0.0800000000000001	0.0800000000000001	9.71	0.0700000000000001	0.04	0.0600000000000001	0.03	0.1	0.0800000000000001	0	0	0.13	0.05	0.03	0.12	0.05	0.01	0	0.03	0.04	0.02	0	0.23	0.03	0.46	9.52	0	0.0900000000000001	0	0.03	0.1	0.31	0	0.05	0	0.0900000000000001	0.03	0.02	0.0600000000000001	0.98	1.95	0.01	0.03	0.05	0.0700000000000001	0.01	0.05	0.0900000000000001	0.0600000000000001	0	0.0700000000000001	0.01	0.01	0.11	0.2	0.02	0.02	0.23	0.0800000000000001	0.1	2.49	0.0700000000000001	0.03	0.0600000000000001	0.01
WNT16	0.0600000000000001	0.25	0.12	0.0700000000000001	0.02	0.17	0.02	0.17	0.0900000000000001	0.24	0.11	0.48	0.05	0.0600000000000001	0.15	0.02	0.33	0.01	0.01	0.12	0.26	1.05	0.26	0.04	0.02	0.01	0.11	0.17	0.03	0.0600000000000001	0.04	0.02	0.01	0.19	0.15	0.04	0.0700000000000001	0	0.02	0.0800000000000001	0	0.01	0.31	0.1	0.15	0.03	0	0.02	0.02	0.17	0.1	0.16	0.01	0.46	0.04	0.05	0.13	0.03	0.01	0.14	0.33	0.02	0.11	0.04	0.13	0.0700000000000001	0.0800000000000001	0.03	0.01	0.01	0	0.19	0.0800000000000001	0.21	0.0800000000000001	0.18	0.15	0.02	0.11	0.6	0.03	0.11	0.19	0.03	0.02
HECW1	0.0600000000000001	0	8	0.01	0.01	2.04	0.02	0.8	0	0	0.0600000000000001	0.01	0	0	0.46	0.27	3.32	0.01	0	3.75	5.36	0	0.44	0.72	0.01	0.85	0.92	4.4	6.02	7.35	3.26	0.1	0	0.01	6.55	0	0.3	0	0	0	0	0	0.02	0.17	0.93	0.03	0.59	0.14	0	3.27	0.47	0.41	0	0.69	0.05	0.01	3.22	1.91	0	0	1.27	8.18	0	0.01	1.28	0.6	0.01	0	0.95	2.51	0.01	5.5	6.61	0.02	0	3.49	0	4.88	0.77	0.16	6.16	2.71	0.02	3.04	0.29
MAD1L1	52.21	74.26	91.35	133.06	133.53	27.01	42.35	15.17	41.55	80.51	8.72	16.61	154.25	69.14	9.58	174.31	217.68	39.21	110	7.69	98.98	25.98	13.46	18.12	100.83	10.85	104.2	127.81	115.13	223.33	208.18	107.81	87.07	146.18	128.53	86.31	46.66	47.59	37.16	265.72	27.8	99.32	40.89	108.14	16.64	5.57	85.19	83.9	9.3	113.72	27.3	8.49	14.55	99.37	22.9	95.92	11.44	7.62	118.45	157.5	10.51	213.77	137.86	90.13	110.23	131.55	141.52	156.43	255.06	65.57	91.42	81.07	147.98	146.22	57.93	21.35	114.3	112.16	25.21	111.72	13.25	152.39	48.93	64.91	27.42
LASP1	76.4	85.31	77.6	30.24	203.8	85.88	179.09	72.47	57.78	44.66	81.33	90.67	65.25	26.22	67.89	61.02	107.56	42.81	30.08	43.64	104.7	66.27	81.12	50.27	113.07	68.68	49.89	86.61	96.19	33.49	61.42	54.58	56.13	47.92	87.52	26.96	109.13	74.1	35.59	49.93	149.13	34.79	106.84	43.47	79.54	260.95	59.09	30.51	78.91	109.13	48.04	76.52	79.62	133.21	75.85	92.1	58.07	163.56	51.56	62.79	150.72	44.23	60.49	29.83	65.7	91.99	123.52	65.42	37.63	62.98	59.54	162.04	61.15	180.58	110.91	90.42	53.08	30.06	60	105.97	126.25	95.72	118.28	155.93	156.54
SNX11	20.22	20.31	19.96	22.06	20.9	18.72	17.99	22.15	28.28	15.61	13.98	20.82	19.23	6.81	10.36	8.78	18.75	19.06	15.68	11.02	6.89	6.38	13.02	9.32	18.14	12.93	15.17	24.55	14.6	9.57	24.13	16.19	17.04	10.94	15.66	18.65	23.65	25.34	16.28	26.4	13.14	11.71	14.79	18.14	10.82	15.63	16.21	15.26	8.77	18.3	20.54	12	14.12	18.55	20.7	19.57	8.91	18.1	10.22	12.54	14.2	16.52	23.33	13.56	12.31	15.23	19.15	13.72	24.35	14.77	14.08	12.95	10.15	17.33	13.54	14.54	14.28	16.5	20.16	16.82	8.01	16	23.55	52.9	16.03
TMEM176A	0.16	0.0900000000000001	0.11	0.05	0.0900000000000001	0	0	0.0900000000000001	0.14	0.1	0.0800000000000001	0.02	0.0800000000000001	0.18	0.01	0.04	0.05	0	0	0	0	0.17	0.12	0	0	0	0.02	0.15	0.02	0.12	0.05	0.12	0.63	0.15	0.64	0.24	0.0800000000000001	0	0.14	0.14	0	0	0.04	0.13	3.7	0.0600000000000001	0	0.02	0.04	0.0600000000000001	0.26	0.04	0.02	0	0	0	0	0.5	0.0900000000000001	0.29	4.18	0	0	0.0700000000000001	0.04	0.23	0.14	0.12	0	0.17	0.05	0.15	0	0.5	0	0.05	0.05	0.19	0	0.18	0.15	0.57	0.0700000000000001	0.12	0
M6PR	163.44	139.31	210.24	164.88	222.44	201.12	115.55	148.86	131.86	176.3	89.1	127.78	101.06	158.6	160.12	64.83	161.44	186.99	197.94	129.95	87.61	57.24	135.26	140.84	29.87	204.85	186.38	197.14	137.47	107.89	209.19	91.68	286.74	113.54	188.63	243.71	82.79	244.58	254.02	249.8	76.3	152.28	83.62	154.49	198.25	136.64	204.72	206.23	40.41	188.12	216.77	277.81	152.44	81.13	89.84	198.5	87.43	105.63	217.25	217.79	212.52	146.98	120.8	170.59	171.73	170.87	105.72	101.41	181.34	275.28	151.75	92.78	125.46	137.02	132.7	147.02	152.79	89.92	83.6	195.52	85.91	161.74	157.07	273.94	122.34
KLHL13	0.1	0.52	3.46	3.3	1.22	1.24	0	3.84	3.45	6.37	2.05	20.88	0.46	0.11	0.72	0.12	0.27	0.65	0.26	1.75	2.28	0.79	7.09	3.77	0.87	2.14	1.14	4.39	0.03	0.25	4.9	0.15	2.77	3.02	3.11	0.04	5.49	2.29	3.75	1.85	0.01	0.45	3.29	1.8	13.62	3.04	1.24	1.42	1.67	3.26	1.88	0.4	4.53	7.41	0	0.82	0.66	10.31	0.85	2.03	10.98	3.18	2.27	1.08	0.03	0.0700000000000001	0.1	1.45	10.04	0.99	3.5	1.36	2.19	5.21	4.69	2.18	3.88	4.85	5.34	2.25	1.66	4.86	3.02	0.03	0.01
CYP26B1	0.37	0.44	0.35	0.15	18.37	1	0	1.19	0.11	0.64	4.64	19.3	7.42000000000001	0.11	2.85	0.02	1.02	0.0900000000000001	0.27	0.24	4.98	5.74	0.39	0.59	0.0600000000000001	1.52	0.05	0.47	6.43	0.32	2.6	0.27	0.31	0.0600000000000001	1.64	0.0700000000000001	5.73	0.11	3.82	1.34	7.13	0.13	0.14	0.88	0.15	0.53	1.64	4.67	1.45	0.14	4.87	2.67	4.12	0.23	10.15	1.02	0.38	6.35	3.02	0.77	2.27	0.04	9.4	0.38	0.26	2.5	1.2	0.39	1.23	0.11	0.02	1.87	9.09	0.24	2.63	2.72	4.48	7.48	2.47	0.32	9.61	0.12	0.04	2.5	0.41
ICA1	3.93	3.39	1.3	18.77	0.62	3.88	0.99	0.3	10.95	3.54	0.0800000000000001	0.05	3.63	0.51	3.96	0.62	13.39	9.12	1.48	12.09	0.77	5.56	0.79	4.18	4.24	8.84	12.27	6.22	0.47	0.13	0.66	25.47	13.93	2.27	9.62	0.19	0.11	6.91	11.08	1.95	1	3.05	11.96	7.73	7.16	0.14	7	0.84	7.66	8.82	2.79	1.61	0.03	27.01	6.98	0.35	14.1	18.72	0.35	14.6	10.24	19.03	2.38	0.87	0.05	0.38	17.42	3.82	6.76	0.49	1.78	15.59	3.52	24.67	4.73	5.96	13.7	6	0	10.29	15.26	9.28	9.37	4.42	0.0800000000000001
DBNDD1	8.97	7.69	22.75	36.09	5.13	23.73	0.45	19.15	70.08	16.23	1.93	4.06	41.7	19.77	13.58	9.69	39.32	3.35	15.24	22.43	4.91	29.43	4.49	9.89	13.5	8.85	34.48	22.9	9	44.92	29.37	21.42	7.75	21.14	10.46	16.98	12.35	16.91	12.37	6.2	11.14	7.22	11.07	5.06	17.23	4.52	38.62	24.83	20.08	13.76	9.98	4.17	15.71	30.26	26.65	21.5	22.67	39.39	13.55	3.31	3.1	4.97	9.88	23.27	19.23	33.51	19.97	32.13	18.89	10.46	14.92	16.99	10.09	9.69	11.82	16.05	6.72	24.58	1.83	22.69	15.08	22.35	26.64	13.28	4.49
ALS2	12.42	20.99	21.3	25.35	13.94	12.87	19.24	16.39	21.29	36.36	5.1	8.01	31.84	2.86	10.59	7.11	22.36	13.05	11.71	7.29	24	18.63	7.91	13.32	25.03	11.96	33	16.92	19.7	5.72	17.96	15.93	12.27	10.53	19.13	14.26	11.62	16.2	19.87	18.17	29.94	12.5	17.39	23.84	15.94	10.88	12.27	15.53	11.17	18.53	18.19	11.96	14.85	23.31	17.63	14.75	5.61	24.42	14.34	22.74	17.03	14.72	9.6	30.26	12.55	22.79	12.7	19.56	24.67	13.86	17.92	20.45	18.64	12.69	12.64	9.99	7.91	11.93	7.41	16.63	12.8	11.29	12.68	14.1	22
CASP10	1.35	0.18	1.88	8.06	3.92	0.66	0.05	2.2	3.56	1.59	2.04	6.37	0.95	0.8	1.34	1.2	1.78	3.37	0.0800000000000001	2.19	3.51	0.15	5.88	0.0800000000000001	0.15	2.69	6.91	1.84	6.67	1.05	3.13	3.42	2.08	2.72	2.64	1.77	1.48	2.15	1.3	3.32	0.02	0.12	0.44	4.4	0.28	10.73	2.27	1.63	0.01	0.64	1.35	3.36	3.59	0.11	0.23	1.29	1.69	1.09	3.38	0.1	0.1	1.9	0.26	0.24	1.58	2.64	0.13	1.37	1.82	2.41	8.83	0.43	0.04	0.03	0.58	1.29	0.61	2.02	3.07	1.69	5.43	1.78	1.47	0.69	0.03
