gene	ACH-001339	ACH-000765	ACH-000008	ACH-000465	ACH-000550	ACH-000322	ACH-002508	ACH-000632	ACH-000441	ACH-000805	ACH-001328	ACH-001521	ACH-000580	ACH-001568	ACH-002458	ACH-001569	ACH-000814	ACH-001973	ACH-002005	ACH-002003	ACH-002461	ACH-000799	ACH-001523	ACH-001551	ACH-002511	ACH-002460	ACH-000614	ACH-000014	ACH-000348	ACH-001566	ACH-000572	ACH-001239	ACH-001970	ACH-000425	ACH-000404	ACH-000882	ACH-000458	ACH-002084	ACH-001522	ACH-000650	ACH-001563	ACH-002510	ACH-000822	ACH-000812	ACH-002509	ACH-001524	ACH-001982	ACH-000730	ACH-001567	ACH-000661	ACH-001190	ACH-002459	ACH-001645	ACH-000304	ACH-000931	ACH-000810	ACH-002001	ACH-001550	ACH-000450	ACH-000423	ACH-001552	ACH-000915	ACH-000881	ACH-000899	ACH-000884	ACH-000477	ACH-000401	ACH-000615	ACH-000801	ACH-002512	ACH-002004	ACH-000827	ACH-000987	ACH-000274	ACH-000644	ACH-000219	ACH-000582	ACH-001570	ACH-001442	ACH-000640	ACH-002002	ACH-000579	ACH-000788	ACH-000968	ACH-000750
CDK13	21.13	20.81	27.08	18.85	21.53	20.01	14.89	19.51	16.21	18.58	13.6	19.04	30.37	11.45	20.85	18.82	29.27	17.96	11.28	14.77	12.34	33.63	29.53	20.51	27.07	28.96	24.22	27.92	27.49	14.95	33.75	34.82	28.33	20.65	20.17	15.34	38.81	18.91	23.31	29.27	9.49	17.85	18.11	26.76	15.36	22.82	20.91	15.13	24.71	23.59	20.52	22.1	8.01	39.85	25.72	13.75	13.93	17.75	14.58	28.5	21.76	12.23	24.67	24.39	15.87	17.28	29.9	16.15	19.59	12.27	22.26	45.03	17.51	52.34	22.5	22.74	22.87	20.65	10.5	32.65	14.11	18.86	24.04	8.11	16.57
MTHFD2	115.93	159.9	93.02	40.81	44.35	90.23	123.75	123.45	272.78	101.91	161.23	121.84	149.68	92.26	33.7	74.02	77.02	300.99	207.38	162.88	36.9	74.23	17.34	79.64	53.22	38.86	294.29	62.86	170.46	63.7	106.29	49.2	194.9	110.01	86.11	161.4	448.15	69.58	50.22	119.5	133.78	224.48	52.8	76.86	90.29	53.57	173.76	87.65	50.23	53.94	95.1	25.19	275.21	36.89	243.25	68.58	292.65	318.24	57.96	74.27	139.96	95.05	81.1600000000001	45.42	123.25	62.76	74.92	45.12	61.92	92.93	565.81	87.32	63.4	97.28	40.26	139.06	62.45	108.12	89.51	76.91	327.78	64.95	135.58	58.71	196.27
SLC9A7	4.81	1.58	7.69	5.63	14.57	3.61	10.96	20.28	14.75	8.66	5.07	1.38	2.6	3.92	8.8	1	3.49	0.75	1.44	8.54	18.19	15.88	14.89	5.47	7.4	14.08	4.55	3.3	18.57	1.7	2.17	7.71	1.05	11.41	0.87	0.75	23.32	6.08	3.22	0.3	4.85	0.15	34.8	0.43	45.8	9	6.08	1.78	7.25	16.75	3.42	21.68	5.29	8.11	0.34	1.8	11.98	9.89	0.59	0.28	5.68	2.74	3.71	9.18	22.7	7.17	3.32	3.07	0.14	1.77	3.99	18.81	3.44	4.66	18.91	4.46	0.31	1.01	6.26	9.72	10.23	1.62	8.44	0.8	15.86
FOXJ2	7.07	7.26	5.92	10.71	18.99	7.15	6.88	5.39	5.46	9.71	6.14	11.15	6.88	2.96	5.64	3.88	7.72	7.82	8.02	6.01	5.97	7.45	13.53	6.86	15.86	8.46	9.75	6.93	7.58	2.74	7.28	4.13	6.48	6.91	5.54	6.67	14.56	6.8	7.36	9.84	6.35	5.43	5.33	9.38	7.42000000000001	10.7	9.98	5	5.17	9.05	6.95	8.46	6.45	9.48	6.57	6.68	5.97	10.57	4.79	5.55	12.78	6.54	7.05	7.18	7.33	6.68	5.8	3.78	7.5	8.83	7.09	9.3	4.12	8.83	8.21	7.09	5.84	1.71	4.06	15.84	6.11	4.33	6.21	4.33	9.21
YBX1	878.549999999999	1305.5	1339.6	1029.1	877.399999999999	888.99	532.98	1305.7	1141.9	1223.4	673.52	696.17	927.220000000002	280.52	306.01	1106.2	1093.5	1049.3	1215.8	563.16	475.45	576.14	375.31	599.94	408.2	270.09	864.29	804.45	901.490000000001	1004.1	1155.2	840.01	813.39	1393.6	1094.9	1123.9	1132.9	780.99	901.280000000001	1471	656.09	553.53	1005.7	936.150000000001	460.77	288.3	962.91	692.88	450.01	818.13	314.05	167.33	540.82	797.98	853.59	2004.5	553.429999999999	710.37	1752.4	1234.7	768.780000000001	1213.5	1009.9	697.64	782.79	497.01	1630.1	918.28	1191.1	533.000000000001	701.46	701.8	1198.3	1182.6	669.679999999999	1206.1	766.210000000001	720.35	576.46	909.2	840.02	1593.1	908.7	931.67	999.84
PDE4A	2.12	5.93	8.63	7.15	7.4	7.37	1.98	4.82	0.26	4.95	0.02	0.21	1.56	0.57	7.4	2.7	4.99	3.31	0.52	7.41	2.64	2.55	3.94	4.82	2.1	8.21	2.02	14.52	8.51	1.96	5.11	6.79	3.24	4.96	6.69	2.6	0.0900000000000001	1.37	4.63	4.76	4.69	1.01	4.44	0.29	9.22	1.12	1.15	2.19	3.77	3.29	0.61	5.98	6.17	10.43	6.96	6.18	7.96	2.93	2.75	0.74	0.89	9.64	0.26	1.35	6.54	3.21	3.94	1.85	2.02	7.71	2.89	0.38	4.3	6.44	7.01	8.96	2.66	2.36	0.21	7.28	7.4	4.06	2.4	0.85	3.24
PPP2R5A	17.29	13	10	30.72	8.52	10.65	11.85	8.96	28.91	6.32	28.94	38	12.22	4.92	10.52	43.32	15.51	37.74	17.88	16.19	3.33	16.83	29.97	6.75	11.67	7.65	16.09	8.41	13.16	19.38	13.51	21.74	25.97	18.59	16.92	7.78	21.13	16.15	12.18	23.64	12.57	17.54	6.54	17.32	10.34	26.82	22.23	14.15	16.02	19.78	14.85	3.39	41.71	10.64	8.86	16.57	14.18	15.73	10.75	7.36	32.44	21.06	10.42	22.5	14.44	22.86	15.37	18.54	12.63	18.73	34.67	8.95	11.03	13.62	17.47	7.59	9.5	29.15	16.48	11.37	15.57	16.91	10.18	8.8	18.72
CTNNA2	0.17	0.05	0.05	9.36	0.11	0.01	0.05	0.05	0.57	1.48	0	0	1.28	0.17	0	1.39	0.0600000000000001	0.1	0.31	0	0.02	0.04	0	0.19	0	0.34	0.36	0	0.01	0.18	2.05	0	0.76	0.48	2.68	0.0800000000000001	0	2.62	0.39	2.06	0	2.34	0.17	2.94	2.99	0	0.35	2.04	0.04	0.1	1.79	0	15.48	0.5	1.29	0.41	0.15	0.0700000000000001	0.33	0.37	0.13	0.43	0.87	0.01	0.0700000000000001	1.86	0	0.57	1.37	0.22	2.67	0.01	0.61	6.35	0.2	0.0700000000000001	0.63	4.8	0	1.98	0.39	0.17	0.21	0.28	0.03
ELAVL1	41.9	52.45	51.41	54	63.26	53.36	41.63	53.59	49.39	53.41	24.21	45.06	53.01	11.71	38.7	28.36	61.38	45.81	45.84	41.78	31.49	37.75	40.04	45.15	76.37	36.62	45.07	44.38	39.18	58.7	64.11	38.72	42.93	53.09	47.23	45.31	47.05	59.17	36.95	89.5	45.78	34.78	53.23	53.94	68.61	30.83	45.63	30.08	44.11	49.14	48.42	30.36	43.42	47.83	88.92	58.55	44.51	67.21	47.88	41.64	50.01	40.78	63.64	45.91	36.14	37.48	54.4	45.94	44.23	62.54	43.16	43.34	68.62	65.49	47.55	50.91	39.06	38.46	39.1	46.22	50.97	59.92	63.54	52.39	32.18
TIE1	2.66	0.84	0.04	0.72	0.01	0.9	26.23	0.14	0.0700000000000001	0.21	0.0900000000000001	0.01	0.0900000000000001	0.04	0.23	0.25	0.33	0.0800000000000001	0.26	0.0600000000000001	0.01	0.88	0	0.35	0.2	0.15	0.26	0.38	1.35	0.13	0.0600000000000001	4.98	0.71	0.45	0.33	0.49	0.35	0.02	0.3	0.01	0.27	0.44	3.53	0.03	15.95	0	0.48	0.04	0.14	1.45	0.05	0.41	1.64	0.99	0	0.1	0.62	0.1	0.14	0.02	0.01	0	0	0.32	0.1	2.43	0.44	0.24	0.02	0.04	1.27	0.48	0.42	0.13	1.99	0.47	0.02	0.0900000000000001	0	8.3	18.78	1.79	1.21	0.0700000000000001	0.56
