ID	Cell_Line_Name	Disease_Stage
SRR8615849	HuT_102	lymphoid_neoplasm_(mycosis_fungoides-Sezary_syndrome)
SRR8615850	HuT_78	lymphoid_neoplasm_(mycosis_fungoides-Sezary_syndrome)
SRR8615927	SUP-T11	lymphoid_neoplasm_(peripheral_T_cell_lymphoma_unspecified)
SRR8616028	RPMI_8226	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8616065	MOLP-8	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8616066	MOLP-2	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8616070	MM1-S	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615347	KMS-26	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615348	KMS-27	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615349	KMS-20	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615350	KMS-21BM	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615351	KMS-12-BM	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615352	KMS-18	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615354	KMS-11	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615358	KE-97	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615397	LP-1	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615408	AMO-1	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615485	L-363	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615498	NCI-H929	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615503	SK-MM-2	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615557	JJN-3	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615660	HuNS1	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615705	KARPAS-620	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615877	OPM-2	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615896	U266B1	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615903	KMM-1	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615913	KHM-1B	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615941	KMS-34	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615942	KMS-28BM	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615285	EJM	lymphoid_neoplasm_(plasma_cell_myeloma)
SRR8615386	GCT	malignant_fibrous_histiocytoma-pleomorphic_sarcoma
SRR8616020	A-375	malignant_melanoma
SRR8616047	HT-144	malignant_melanoma
SRR8616048	SK-MEL-1	malignant_melanoma
SRR8616049	SK-MEL-24	malignant_melanoma
SRR8616052	SK-MEL-31	malignant_melanoma
SRR8616053	SK-MEL-3	malignant_melanoma
SRR8616054	SK-MEL-28	malignant_melanoma
SRR8616055	SK-MEL-30	malignant_melanoma
SRR8616056	SK-MEL-5	malignant_melanoma
SRR8616090	SH-4	malignant_melanoma
SRR8616126	HMCB	malignant_melanoma
SRR8616138	CJM	malignant_melanoma
SRR8616186	LOX_IMVI	malignant_melanoma
SRR8616201	C32	malignant_melanoma
SRR8615232	MEL-JUSO	malignant_melanoma
SRR8615233	MEL-HO	malignant_melanoma
SRR8615238	MeWo	malignant_melanoma
SRR8615324	Hs_834.T	malignant_melanoma
SRR8615327	Hs_839.T	malignant_melanoma
SRR8615339	UACC-62	malignant_melanoma
SRR8615340	UACC-257	malignant_melanoma
SRR8615414	Hs_294T	malignant_melanoma
SRR8615419	Hs_600.T	malignant_melanoma
SRR8615430	RVH-421	malignant_melanoma
SRR8615437	RPMI-7951	malignant_melanoma
SRR8615494	IPC-298	malignant_melanoma
SRR8615583	MDA-MB-435S	malignant_melanoma
SRR8615617	COLO_829	malignant_melanoma
SRR8615618	COLO-800	malignant_melanoma
SRR8615637	A2058	malignant_melanoma
SRR8615639	COLO-679	malignant_melanoma
SRR8615646	A101D	malignant_melanoma
SRR8615759	Malme-3M	malignant_melanoma
SRR8615785	Hs_688(A).T	malignant_melanoma
SRR8615786	COLO_792	malignant_melanoma
SRR8615787	COLO-783	malignant_melanoma
SRR8615788	COLO_741	malignant_melanoma
SRR8615843	IGR-39	malignant_melanoma
SRR8615845	IGR-1	malignant_melanoma
SRR8615846	IGR-37	malignant_melanoma
SRR8615882	Hs_852.T	malignant_melanoma
SRR8615885	Hs_934.T	malignant_melanoma
SRR8615886	Hs_895.T	malignant_melanoma
SRR8615887	Hs_939.T	malignant_melanoma
SRR8615888	Hs_936.T	malignant_melanoma
SRR8615889	Hs_944.T	malignant_melanoma
SRR8615890	Hs_940.T	malignant_melanoma
SRR8618302	WM-983B	malignant_melanoma
SRR8618303	WM-88	malignant_melanoma
SRR8618314	WM-266-4	malignant_melanoma
SRR8618316	WM1799	malignant_melanoma
SRR8618318	WM-115	malignant_melanoma
SRR8618319	WM-793	malignant_melanoma
SRR8615716	K029AX	malignant_melanoma
SRR8615738	G-361	malignant_melanoma
SRR8615778	Hs_695T	malignant_melanoma
SRR8615491	IOMM-Lee	meningioma
SRR8616009	DM-3	mesothelioma
SRR8615254	NCI-H2052	mesothelioma
SRR8615406	ACC-MESO-1	mesothelioma
SRR8615433	RS-5	mesothelioma
SRR8615487	IST-MES2	mesothelioma
SRR8615488	IST-MES1	mesothelioma
SRR8615540	NCI-H28	mesothelioma
SRR8615541	NCI-H2452	mesothelioma
SRR8615555	JL-1	mesothelioma
SRR8615699	MPP_89	mesothelioma
SRR8615700	MSTO-211H	mesothelioma
SRR8615530	NCI-H3122	NA
SRR8616014	A427	NA
SRR8616077	KPMRTRY	NA
SRR8616086	TM-87;TM87	NA
SRR8616125	BT-12	NA
SRR8616194	CACO2;CACO2;CaCo-2	NA
SRR8616202	C8166	NA
SRR8616208	HNT-34	NA
SRR8615223	OCIMY5	NA
SRR8615224	OCI-MY7	NA
SRR8615259	NCI-H2004_RT	NA
SRR8615301	PC9	NA
SRR8615364	KD	NA
SRR8615374	STM9101	NA
SRR8615444	NHAHTDD	NA
SRR8615453	HCC461	NA
SRR8615454	HCC515	NA
SRR8615492	INA-6	NA
SRR8615499	SKNEP1	NA
SRR8615539	NCI-H2887	NA
SRR8615542	NCIH2882	NA
SRR8615543	OPM-1	NA
SRR8615610	NCI-H1819	NA
SRR8615629	HELA	NA
SRR8615676	SIHA	NA
SRR8615697	MON	NA
SRR8615724	TTC709	NA
SRR8615725	TTC642	NA
SRR8615727	NA	NA
SRR8615794	NCI-H2077;NCI-H1581	NA
SRR8615859	SKPNDW	NA
SRR8615994	HCC2450	NA
SRR8615730	TTC549	NA
SRR8615731	TTC1240	NA
SRR8615522	MHH-NB-11	neuroblastoma
SRR8616071	KP-N-SI9s	neuroblastoma
SRR8616072	KP-N-YN	neuroblastoma
SRR8616078	KP-N-RT-BM-1	neuroblastoma
SRR8616083	CHP-212	neuroblastoma
SRR8616147	SK-N-DZ	neuroblastoma
SRR8615344	NB-1	neuroblastoma
SRR8615357	KELLY	neuroblastoma
SRR8615447	NH-6	neuroblastoma
SRR8615501	SK-N-BE(2)	neuroblastoma
SRR8615502	SK-N-AS	neuroblastoma
SRR8615506	SK-N-SH	neuroblastoma
SRR8615526	CHP-126	neuroblastoma
SRR8615675	SIMA	neuroblastoma
SRR8615842	IMR-32	neuroblastoma
SRR8615940	SK-N-FI	neuroblastoma
SRR8616101	Saos-2	osteosarcoma
SRR8616211	HOS	osteosarcoma
SRR8615240	MG-63	osteosarcoma
SRR8615678	SJSA-1	osteosarcoma
SRR8615692	U-2_OS	osteosarcoma
SRR8615855	T1-73	osteosarcoma
SRR8615883	Hs_888.T	osteosarcoma
SRR8615884	Hs_870.T	osteosarcoma
SRR8615737	G-292,_clone_A141B1	osteosarcoma
SRR8615662	HuH-6	other_(hepatoblastoma)
SRR8616088	TIG-3_TD	other_(immortalized_embryonic_fibroblast)
SRR8616104	SALE	other_(immortalized_epithelial)
SRR8616207	HMEL	other_(immortalized_epithelial)
SRR8615229	OELE	other_(immortalized_epithelial)
SRR8615627	HEK_TE	other_(immortalized_epithelial)
SRR8615973	PrEC_LH	other_(immortalized_epithelial)
SRR8615328	Hs_840.T	other_(papilloma)
SRR8615867	ONS-76	primitive_neuroectodermal_tumour-medulloblastoma
SRR8615957	D283_Med	primitive_neuroectodermal_tumour-medulloblastoma
SRR8615960	D341_Med	primitive_neuroectodermal_tumour-medulloblastoma
SRR8615962	Daoy	primitive_neuroectodermal_tumour-medulloblastoma
SRR8615638	A-204	rhabdoid_tumour
SRR8615739	G-401	rhabdoid_tumour
SRR8615740	G-402	rhabdoid_tumour
SRR8615391	KYM-1	rhabdomyosarcoma
SRR8615463	TE_441.T	rhabdomyosarcoma
SRR8615468	TE_617.T	rhabdomyosarcoma
SRR8615620	TE_159.T	rhabdomyosarcoma
SRR8615781	Hs_729	rhabdomyosarcoma
SRR8615833	TE_125.T	rhabdomyosarcoma
SRR8615718	RH-18	rhabdomyosarcoma_(alveolar)
SRR8615722	RH-30	rhabdomyosarcoma_(alveolar)
SRR8615800	RH-41	rhabdomyosarcoma_(alveolar)
SRR8615595	RD	rhabdomyosarcoma_(embryonal)
SRR8615231	MES-SA	sarcoma
SRR8615587	S-117	sarcoma
SRR8615681	SK-LMS-1	sarcoma
SRR8615956	COV434	sex_cord-stromal_tumour_(granulosa_cell_tumour)
